Income Statistics - Fredericton (2021),,,,,,
Household income statistics (6),Number of households (2021) 3 4 5,Number of households (2016),Median household total income (2020) (2020 constant dollars),Median household total income (2015) (2020 constant dollars),Median household after-tax income (2020) (2020 constant dollars),Median household after-tax income (2015) (2020 constant dollars)
3,"Total income refers to the sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between: – Statistical units of social statistical programs such as persons, private households, census families and economic families; – Statistical units of business statistical programs such as enterprises, companies, establishments and locations; and – Statistical units of farm statistical programs such as farm operator and farm family. In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period. In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period. In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period. In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period. The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are: employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities); income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds; income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs); other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships; income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income. Receipts excluded from this income definition are: one-time receipts, such as lottery winnings, gambling winnings, cash inheritances, lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals; capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income; employers' contributions to registered pension plans, Canada Pension Plan, Québec Pension Plan and Employment Insurance; voluntary inter-household transfers, imputed rent, goods and services produced for barter and goods produced for own consumption.",,,,,
4,"After-tax income refers to total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes, provincial and territorial income taxes, less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.",,,,,
5,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of households are calculated for all units, whether or not they had income.",,,,,
6,"For more information, refer to the Census Dictionary: Household type; Census family.",,,,,
7,"Prior to the 2021 Census, this category refers to males. Starting in 2021, this category includes men (and/or boys), as well as some non-binary persons.",,,,,
8,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.    The sex variable in census years prior to 2021 and the two-category gender variable in the 2021 Census are included together in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations. For additional information on changes of concepts over time, please consult the Age, Sex at Birth and Gender Reference Guide.",,,,,
9,"Prior to the 2021 Census, this category refers to females. Starting in 2021, this category includes women (and/or girls), as well as some non-binary persons.",,,,,
10,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.    The sex variable in census years prior to 2021 and the two-category gender variable in the 2021 Census are included together in this table. Although sex and gender refer to two different concepts, the introduction of gender is not expected to have a significant impact on data analysis and historical comparability, given the small size of the transgender and non-binary populations. For additional information on changes of concepts over time, please consult the Age, Sex at Birth and Gender Reference Guide.",,,,,
11,One-census-family households with additional persons and multiple-census-family households.,,,,,
,,,,,,
,,,,,,
,,,,,,
"How to cite: Statistics Canada. Table 98-10-0057-01  Household income statistics by household type: Canada, provinces and territories, census divisions and census subdivisions",,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810005701,,,,,,
